date,open,high,low,close,volume
2021-01-29 05:00:00,276.6668,280.8033,260.0333,264.51,104969412.0
2021-02-01 05:00:00,271.43,280.6667,265.1867,279.9367,76137696.0
2021-02-02 05:00:00,281.56,293.5,280.7335,290.93,73038639.0
2021-02-03 05:00:00,292.34,292.6933,284.3549,284.8967,54931530.0
2021-02-04 05:00:00,285.0,285.5,277.8067,283.33,47437983.0
2021-02-05 05:00:00,281.6667,288.2567,279.6567,284.0767,55699797.0
2021-02-08 05:00:00,289.89,292.59,284.9167,287.8067,60484350.0
2021-02-09 05:00:00,285.04,286.6,280.5833,283.1533,45453543.0
2021-02-10 05:00:00,281.2117,281.6067,266.6733,268.2733,108645195.0
2021-02-11 05:00:00,270.8133,276.6266,267.2417,270.5533,64868259.0
2021-02-12 05:00:00,267.0867,272.4433,261.7769,272.04,70779939.0
2021-02-16 05:00:00,272.6667,273.6667,264.1467,265.4067,59406612.0
2021-02-17 05:00:00,259.6967,266.6133,254.0033,266.05,78176661.0
2021-02-18 05:00:00,260.3,264.8967,258.7567,262.46,53861094.0
2021-02-19 05:00:00,265.0,265.5966,259.1233,260.4333,56874765.0
2021-02-22 05:00:00,254.2133,256.1667,236.7333,238.1667,111790428.0
2021-02-23 05:00:00,220.71,237.87,206.3333,232.9467,199814007.0
2021-02-24 05:00:00,237.2833,248.3333,231.39,247.34,110135100.0
2021-02-25 05:00:00,242.05,245.7355,223.5267,227.4067,117071565.0
2021-02-26 05:00:00,233.3333,235.5667,219.8367,225.1667,123267519.0
2021-03-01 05:00:00,230.0367,290.6667,228.35,239.4767,81408606.0
2021-03-02 05:00:00,239.4267,240.37,228.3333,228.8133,71196474.0
2021-03-03 05:00:00,229.33,233.5667,217.235,217.7333,90548880.0
2021-03-04 05:00:00,218.6,291.3133,200.0,207.1467,197758590.0
2021-03-05 05:00:00,208.6867,209.2806,179.83,199.3167,268137297.0
2021-03-08 05:00:00,200.1833,206.7083,186.2633,187.6667,155360874.0
2021-03-09 05:00:00,202.7267,226.03,198.4033,224.5267,202569984.0
2021-03-10 05:00:00,233.4333,239.2833,218.3533,222.6867,181815615.0
2021-03-11 05:00:00,233.1333,234.1667,225.7267,233.2,108761676.0
2021-03-12 05:00:00,223.3333,231.6267,222.0465,231.2433,100751520.0
2021-03-15 04:00:00,231.3633,237.7267,228.0133,235.98,88269744.0
2021-03-16 04:00:00,234.45,235.9733,223.6667,225.6267,96587016.0
2021-03-17 04:00:00,218.9567,234.5767,217.0033,233.9367,121117359.0
2021-03-18 04:00:00,228.0967,229.7433,217.3333,217.72,100107066.0
2021-03-19 04:00:00,215.5333,219.0767,208.2067,218.29,128624754.0
2021-03-22 04:00:00,228.1967,233.2067,222.9167,223.3333,118536663.0
2021-03-23 04:00:00,225.2567,225.9333,219.17,220.72,91475610.0
2021-03-24 04:00:00,222.6367,222.6733,210.0367,210.09,101355102.0
2021-03-25 04:00:00,204.3333,215.1667,203.1667,213.4633,117666018.0
2021-03-26 04:00:00,213.9567,214.6067,199.9633,206.2367,101505216.0
2021-03-29 04:00:00,205.2133,205.4933,198.6733,203.7633,85907835.0
2021-03-30 04:00:00,200.5833,212.5533,197.0033,211.8733,118297077.0
2021-03-31 04:00:00,215.54,224.0,213.7033,222.6433,99997239.0
2021-04-01 04:00:00,229.4567,230.8068,219.8067,220.5833,105895134.0
2021-04-05 04:00:00,235.9033,236.0533,228.2333,230.35,125443290.0
